"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"PropertiesEditor","코멘트의 바꿔침","Ctrl+/","PropertiesEditor"
"Run/Debug","Step Return","F7","Debugging"
"C/C++ Source","Toggle Comment","Ctrl+/","C/C++ Editor"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","In C/C++ Views"
"C/C++ Source","Organize Includes","Ctrl+Shift+O","C/C++ Editor"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"C/C++ Source","Go to Previous Member","Ctrl+Shift+Up","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"C/C++ Source","Show Source Quick Menu","Alt+Shift+S","C/C++ Editor"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Update Project","Alt+F5","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"MyBatipse","Copy MyBatis Statement","Ctrl+Shift+C","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"C/C++ Source","Toggle Comment","Ctrl+7","C/C++ Editor"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Line Start","Home","Editing Text"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Text Editing","Line End","End","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Resume","F8","Debugging"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"File","Rename","F2","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Navigate","Previous","Ctrl+,","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Edit","Rename MyBatis element","Ctrl+Alt+Shift+R","Editing Java Source"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"YEdit","Toggle Comment","Ctrl+Shift+C","YEdit editor context"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"C/C++ Source","Open Declaration","F3","Assembly Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"SVN","Update to Revision","Ctrl+Alt+D","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"PropertiesEditor","Unicode표시","Ctrl+I","PropertiesEditor"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"C/C++ Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor"
"Android Refactorings","Extract Android String","Alt+Shift+A, S","In Windows"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Spy","Layout Spy","Ctrl+Alt+Shift+F9","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Navigate","Forward History","Alt+Right","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"PMD UI Commands","Review code","F7","XML Source Occurrences"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"File","Refresh","F5","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Rename MyBatis element","Ctrl+Alt+Shift+R","Editing in Structured Text Editors"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"YEdit","Toggle Comment","Ctrl+/","YEdit editor context"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"C/C++ Source","References","Ctrl+Shift+G","C/C++ Editor"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"C/C++ Source","Toggle Comment","Ctrl+Shift+C","C/C++ Editor"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Edit","Restore Last C/C++ Selection","Alt+Shift+Down","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Select Line End","Shift+End","Editing Text"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"C/C++ Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Views","Show View ()","Alt+Shift+Q, T","In Windows"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Window","Next Editor","Ctrl+F6","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"C/C++ Source","Align const qualifiers","Ctrl+Shift+A","C/C++ Editor"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Open Spring Bean","Alt+Shift+B","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"File","Print","Ctrl+P","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"C/C++ Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Navigate","Beans Quick Outline","Ctrl+Shift+O","Editing in Structured Text Editors"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"C/C++ Source","Open Element","Ctrl+Shift+T","In C/C++ Views"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"SVN","Show Properties","Ctrl+Alt+T","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","C/C++ Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
